1,0,168,"Ross,Joey,Chandler","person,chair,book,cup"
2,206,231,"Joey,Chandler","person,book,cup,couch"
3,231,267,Ross,
4,267,302,"Joey,Chandler","person,book,cup"
5,302,377,Ross,tie
6,397,476,Ross,tie
7,476,659,"Ross,Joey,Chandler","cup,couch,person,book,tie,chair"
8,659,701,"Joey,Chandler","person,chair,potted_plant,couch"
9,701,743,Ross,tie
10,743,878,"Joey,Chandler","person,chair,potted_plant,couch"
11,878,909,Ross,
12,909,1102,"Joey,Chandler","person,chair,cup,couch"
13,1102,1134,Ross,tie
14,1158,1258,"Ross,Joey,Chandler","cup,couch,person,book,chair"
15,1258,1330,Ross,tie
16,1330,1381,"Ross,Joey,Chandler","person,chair,potted_plant"
17,1381,1598,"Ross,Joey,Chandler",tie
18,1598,1628,Ross,"person,cup"
19,2609,2881,"Monica,Ross,Joey,Chandler,Phoebe","cup,couch,person,potted_plant,chair"
20,2881,2923,"Rachel,Phoebe",person
21,2923,3001,Rachel,person
22,3001,3125,"Monica,Phoebe",potted_plant
23,3125,3314,"Monica,Ross,Rachel,Joey,Chandler,Phoebe","cup,dining_table,person,book,chair"
24,3314,3394,"Monica,Rachel,Phoebe","person,chair,cup"
25,3394,3420,"Joey,Chandler","couch,bowl,cup"
26,3420,3484,"Monica,Rachel,Phoebe","person,chair,cup"
27,3484,3615,"Joey,Chandler","cup,couch"
28,3615,3738,Joey,
29,3738,3789,"Joey,Chandler","couch,bowl,cup"
30,3817,3855,"Monica,Rachel,Phoebe","person,plate"
31,3855,3923,"Joey,Chandler","cup,couch"
32,3923,3969,Joey,"person,cup"
33,3993,4066,"Monica,Rachel,Joey,Phoebe","cup,dining_table,couch,person,book,chair"
34,4066,4106,"Joey,Chandler",cup
35,4126,4221,"Joey,Chandler","couch,cup"
36,4221,4281,"Monica,Ross,Rachel,Joey,Phoebe","cup,dining_table,couch,person,book,potted_plant,chair"
37,4281,4336,"Ross,Joey,Chandler","couch,person,potted_plant,tie,chair"
38,4336,4382,Ross,tie
39,4382,4410,"Joey,Phoebe",cup
40,4410,4469,Ross,
41,4469,4663,"Monica,Rachel,Joey,Chandler,Phoebe","cup,dining_table,couch,person,book,chair"
42,4663,4813,"Joey,Chandler","wine_glass,person,dining_table,chair"
43,4813,4878,Chandler,"wine_glass,person,chair"
44,4878,4963,"Joey,Chandler","wine_glass,tie,chair,person"
45,4963,5025,"Joey,Chandler","wine_glass,dining_table,person,potted_plant,chair"
46,5025,5353,"Joey,Chandler","tie,chair,person"
47,5353,5753,"Joey,Chandler",person
48,5753,5826,Chandler,tie
49,5826,5868,Joey,person
50,5868,6397,"Joey,Chandler","wine_glass,person,chair,potted_plant"
51,6397,7187,"Joey,Chandler",tie
52,7187,7317,"Monica,Phoebe","potted_plant,bottle,bowl,vase,oven,chair"
53,7317,7505,Rachel,"vase,potted_plant,couch"
54,7505,7551,Phoebe,"carrot,bowl,potted_plant,bottle"
55,7551,7712,"Monica,Rachel",potted_plant
56,7712,7740,Phoebe,"chair,bowl,bottle,potted_plant"
57,7740,8024,"Monica,Rachel,Phoebe","chair,refrigerator,vase"
58,8024,8097,Phoebe,"chair,bowl,bottle,potted_plant"
59,8097,8249,"Monica,Rachel","chair,vase,potted_plant,couch"
60,8249,8331,Phoebe,"bowl,bottle,potted_plant"
61,8331,8434,"Monica,Rachel","potted_plant,bowl,microwave,bottle,chair"
62,8434,8494,Phoebe,"bottle,potted_plant"
63,8494,8665,"Monica,Rachel",potted_plant
64,8665,8716,Phoebe,"bowl,potted_plant,bottle"
65,8716,8769,"Monica,Rachel",potted_plant
66,8769,8842,Phoebe,"bowl,potted_plant,bottle"
67,8842,8906,"Monica,Rachel",potted_plant
68,8906,9018,"Monica,Phoebe","plate,bottle,oven,bowl,potted_plant,chair"
69,9018,9071,"Monica,Rachel",
70,9071,9191,Phoebe,bowl
71,9191,9295,"Monica,Rachel",
72,9295,9579,"Joey,Chandler,Phoebe","wine_glass,person,chair"
73,9579,9904,Joey,"wine_glass,person"
74,9904,10031,Chandler,
75,10216,10298,Chandler,
76,10485,10528,Chandler,
77,10528,10604,Joey,"wine_glass,person,potted_plant,cup"
78,10604,10665,Chandler,"wine_glass,person,potted_plant"
79,10665,10782,Joey,"wine_glass,person"
80,10815,11549,"Joey,Chandler",
81,11666,11831,"Joey,Chandler",
82,11831,12060,"Joey,Chandler","wine_glass,dining_table,person,potted_plant,chair"
83,12106,12170,Chandler,person
84,12323,12352,Chandler,"tie,person"
85,12376,12539,Chandler,"wine_glass,vase,person,potted_plant,chair"
86,12539,12616,Chandler,"wine_glass,person,chair,potted_plant"
87,12616,12727,Chandler,"wine_glass,person,chair,potted_plant"
88,12829,13017,Chandler,"wine_glass,tie,person,couch"
89,13053,13140,Chandler,"person,couch"
90,13185,13212,Chandler,person
91,13439,13513,Chandler,"person,couch"
92,13535,14119,Chandler,"person,book,bed,couch"
93,14119,14385,Chandler,"book,bed"
94,14739,14878,Monica,
95,14878,15088,"Monica,Chandler",
96,15088,15227,"Monica,Rachel,Chandler",
97,15227,15296,Chandler,
98,15296,15393,"Monica,Rachel",
99,15525,15606,Chandler,
100,15606,15668,"Rachel,Joey,Chandler",
101,15668,16173,"Monica,Rachel,Chandler",cell_phone
102,16173,16610,Ross,"person,cup,bowl,tie"
103,16610,16902,Ross,"cup,vase,person,potted_plant,tie"
104,16902,16972,Ross,"person,cup,tie"
