1,299,382,"송지효,조이,성소",
2,383,500,,"stop sign,frisbee"
3,501,713,,"stop sign,refrigerator,skateboard,couch,tie,cup,frisbee"
4,714,810,,"chair,couch,handbag"
5,811,1514,장윤주,"pizza,couch,stop sign,donut,remote,bowl,fork,cup,book"
6,1515,1979,장윤주,"couch,suitcase,handbag,donut,chair,tie,mouse,pizza,cat"
7,1980,2023,,stop sign
8,2024,2300,장윤주,"bed,couch,suitcase,sink"
9,2301,2490,장윤주,"bed,couch,backpack,handbag"
10,2491,2607,장윤주,"suitcase,couch"
11,2608,2893,장윤주,"suitcase,couch,tie,chair,cat"
12,2894,3319,장윤주,"laptop,chair,remote,tie,stop sign,cup,refrigerator,dining table"
13,3320,3670,장윤주,"stop sign,laptop,tv,chair,remote,handbag"
14,3671,3908,장윤주,"stop sign,chair,tie,refrigerator,potted plant"
15,3909,3943,,stop sign
16,3944,4242,장윤주,"chair,refrigerator,potted plant,tie,stop sign"
17,4243,4413,장윤주,chair
18,4414,4617,장윤주,"bowl,cell phone,potted plant,stop sign"
19,4618,5272,장윤주,"chair,handbag,cell phone,cup,potted plant,stop sign,refrigerator"
20,5273,5853,성소,refrigerator
21,5854,5949,송지효,"chair,couch,dining table,stop sign"
22,5950,6030,장윤주,"toothbrush,stop sign"
23,6031,6675,성소,"remote,refrigerator,cup"
24,6676,6806,조이,"toothbrush,stop sign"
25,6807,6953,조이,
26,6954,7110,조이,
27,7111,7464,조이,
28,7465,7596,,"stop sign,suitcase,toothbrush"
29,7597,7830,,"airplane,tennis racket,stop sign,suitcase,toothbrush,orange,umbrella"
30,7831,7929,,"bottle,car"
31,7930,7967,조이,
32,7968,8039,조이,remote
33,8040,8094,,"stop sign,suitcase"
34,8095,8195,,"bottle,donut,suitcase"
35,8196,8435,조이,
36,8436,8728,송지효,"refrigerator,toilet,sports ball"
37,8729,9005,송지효,"bed,stop sign"
38,9006,9432,송지효,"refrigerator,cell phone,bus"
39,9433,9510,송지효,"knife,handbag,stop sign"
40,9511,9572,"장윤주,송지효,조이,성소","couch,donut,bottle,potted plant,chair,vase"
41,9573,9659,,"tv,bed,vase"
42,9660,9736,송지효,vase
43,9737,10045,송지효,"stop sign,remote,motorcycle,cell phone,sports ball,knife"
44,10046,10159,,"sports ball,tv"
45,10160,10523,송지효,"toilet,remote,refrigerator,stop sign,skateboard,cell phone,chair"
46,10524,10579,"장윤주,송지효,조이,성소",scissors
47,10580,10613,"장윤주,송지효,조이,성소",stop sign
48,10614,10635,"장윤주,송지효,조이,성소","stop sign,frisbee"
49,10636,10651,"장윤주,송지효,조이,성소",bird
50,10652,10669,"장윤주,송지효,조이,성소","stop sign,sports ball,bird"
51,10670,10702,"장윤주,송지효,조이,성소","cake,bowl,dining table,handbag,stop sign,bottle"
52,10703,10756,송지효,stop sign
53,10757,10785,,"train,stop sign"
54,10786,10814,"장윤주,조이",
55,10815,10875,"장윤주,송지효,조이,성소",bottle
56,10876,10913,,"bottle,cup"
57,10914,10943,"장윤주,성소",stop sign
58,10944,10976,"장윤주,송지효,조이,성소","suitcase,potted plant,tv,cake"
59,10977,11000,조이,"stop sign,remote"
60,11001,11039,성소,chair
61,11040,11069,송지효,
62,11070,11104,장윤주,bench
63,11105,11176,"장윤주,송지효,조이,성소","umbrella,bed"
64,11177,11318,,stop sign
65,11319,11397,,"mouse,bottle,bowl"
66,11398,11413,,
67,11414,11434,,"chair,cup"
68,11435,11451,,refrigerator
69,11452,11487,,
70,11488,11563,,
71,11564,11703,장윤주,"chair,vase,cup,potted plant,dining table,cake,sink,mouse,tennis racket"
72,11704,11745,장윤주,potted plant
73,11746,11830,,"cake,cell phone,potted plant,dining table,stop sign"
74,11831,12089,장윤주,"cup,stop sign,dining table,potted plant,chair"
75,12090,12244,,"laptop,cell phone,bottle"
76,12245,12290,장윤주,"chair,potted plant,cell phone,vase"
77,12291,12373,,cell phone
78,12374,12439,장윤주,stop sign
79,12440,12564,장윤주,"chair,cell phone,potted plant"
80,12565,12676,,"laptop,cell phone,stop sign"
81,12677,12756,장윤주,"cell phone,bottle"
82,12757,12822,장윤주,"chair,vase,cup,potted plant,dining table,cake"
83,12823,12885,송지효,sink
84,12886,12927,장윤주,stop sign
85,12928,13069,송지효,stop sign
86,13070,13125,장윤주,"chair,potted plant"
87,13126,13206,송지효,"bottle,cup"
88,13207,13271,장윤주,"chair,sink,potted plant,cup,couch"
89,13272,13350,"장윤주,송지효","cup,stop sign,dining table,potted plant,chair,bottle"
90,13351,13414,장윤주,"potted plant,chair,cup"
91,13415,13481,송지효,"cup,cell phone"
92,13482,13564,송지효,"stop sign,chair,cell phone"
93,13565,13639,장윤주,"stop sign,suitcase"
94,13640,13685,장윤주,laptop
95,13686,13783,장윤주,
96,13784,13838,"장윤주,송지효,조이,성소","book,dining table,vase,couch,cell phone"
97,13839,13908,"조이,성소",chair
